country,city_name,date,nameMap,total_confirm,total_suspect,total_dead,total_heal,confirmAdd,lastUpdateTime
意大利,伦巴第,03.25,Lombardy,30703,0,4178,6657,1942,2020-03-25 14:38:35
意大利,艾米利亚-罗马涅,03.25,Emilia-Romagna,9254,0,985,558,719,2020-03-25 14:38:35
意大利,威尼托,03.25,Veneto,5948,0,216,381,443,2020-03-25 14:38:35
意大利,皮埃蒙特,03.25,Piemont,5515,0,374,17,654,2020-03-25 14:38:35
意大利,马尔凯,03.25,Marche,2736,0,231,8,167,2020-03-25 14:38:35
意大利,托斯卡纳,03.25,Tuscany,2699,0,129,51,238,2020-03-25 14:38:35
意大利,利古里亚,03.25,Liguria,2116,0,231,193,192,2020-03-25 14:38:35
意大利,拉齐奥,03.25,Lazio,1728,0,80,103,188,2020-03-25 14:38:35
意大利,特伦蒂诺-上阿迪杰,03.25,Trentino-Alto Adige - Südtirol,1110,0,56,79,87,2020-03-25 14:38:35
意大利,坎帕尼亚,03.25,Campania,1101,0,56,53,75,2020-03-25 14:38:35
意大利,阿普利亚,03.25,Apulia,1005,0,44,21,99,2020-03-25 14:38:35
意大利,弗留利-威尼斯-朱利亚,03.25,Friuli Venezia Giulia,992,0,64,80,62,2020-03-25 14:38:35
意大利,西西里,03.25,Sicily,846,0,20,27,125,2020-03-25 14:38:35
意大利,博尔扎诺,03.25,Bolzano,781,0,38,44,57,2020-03-25 14:38:35
意大利,阿布鲁佐,03.25,Abruzzo,689,0,46,21,26,2020-03-25 14:38:35
意大利,翁布里亚,03.25,Umbria,648,0,19,5,71,2020-03-25 14:38:35
意大利,撒丁岛,03.25,Sardinia,421,0,15,11,62,2020-03-25 14:38:35
意大利,瓦莱达奥斯塔,03.25,Aosta Valley,400,0,19,2,7,2020-03-25 14:38:35
意大利,卡拉布里亚,03.25,Calabria,319,0,10,5,27,2020-03-25 14:38:35
意大利,巴西利卡塔,03.25,Basilicata,92,0,1,0,2,2020-03-25 14:38:35
意大利,莫利塞,03.25,Molise,73,0,8,10,6,2020-03-25 14:38:35
意大利,地区待确认,03.22,,0,0,0,0,0,2020-03-25 14:38:35
