date,confirm,suspect,dead,heal,deadRate,healRate
01.20,77,27,0,0,0.0,0.0
01.21,149,53,3,0,2.0,0.0
01.22,131,257,8,0,6.1,0.0
01.23,259,680,8,6,3.1,2.3
01.24,444,1118,16,3,3.6,0.7
01.25,688,1309,15,11,2.2,1.6
01.26,769,3806,24,2,3.1,0.3
01.27,1771,2077,26,9,1.5,0.5
01.28,1459,3248,26,43,1.8,2.9
01.29,1737,4148,38,21,2.2,1.2
01.30,1982,4812,43,47,2.2,2.4
01.31,2102,5019,46,72,2.2,3.4
02.01,2590,4562,45,85,1.7,3.3
02.02,2829,5173,57,147,2.0,5.2
02.03,3235,5072,64,157,2.0,4.9
02.04,3893,3971,65,262,1.7,6.7
02.05,3697,5328,73,261,2.0,7.1
02.06,3143,4833,73,387,2.3,12.3
02.07,3401,4214,86,510,2.5,15.0
02.08,2656,3916,89,600,3.4,22.6
02.09,3062,4008,97,632,3.2,20.6
02.10,2484,3536,108,716,4.3,28.8
02.11,2022,3342,97,744,4.8,36.8
02.12,15153,2807,254,1173,1.7,7.7
02.13,5093,2450,121,1083,2.4,21.3
02.14,2644,2277,143,1373,5.4,51.9
02.15,2009,1918,142,1324,7.1,65.9
02.16,2051,1563,105,1425,5.1,69.5
02.17,1891,1432,98,1701,5.2,90.0
02.18,1751,1185,136,1826,7.8,104.3
02.19,820,1277,115,1781,14.0,217.2
02.20,892,1614,118,2109,13.2,236.4
02.21,399,1361,109,2394,27.3,600.0
02.22,649,882,97,2235,14.9,344.4
02.23,416,620,150,1850,36.1,444.7
02.24,517,530,71,2596,13.7,502.1
02.25,411,439,52,2422,12.7,589.3
02.26,440,508,29,2756,6.6,626.4
02.27,329,452,44,3626,13.4,1102.1
02.28,430,248,47,2892,10.9,672.6
02.29,579,132,35,2626,6.0,453.5
03.01,206,141,42,2843,20.4,1380.1
03.02,128,129,31,2742,24.2,2142.2
03.03,120,143,38,2654,31.7,2211.7
03.04,143,143,31,2195,21.7,1535.0
03.05,145,102,30,1684,20.7,1161.4
03.06,103,99,28,1684,27.2,1635.0
03.07,46,84,27,1666,58.7,3621.7
03.08,45,60,23,1541,51.1,3424.4
03.09,20,36,17,1298,85.0,6490.0
03.10,31,31,22,1585,71.0,5112.9
03.11,25,33,11,1320,44.0,5280.0
03.12,11,33,7,1329,63.6,12081.8
03.13,18,17,14,1433,77.8,7961.1
03.14,27,39,10,1373,37.0,5085.2
03.15,29,41,14,841,48.3,2900.0
03.16,39,45,13,936,33.3,2400.0
03.17,35,21,11,926,31.4,2645.7
03.18,84,23,8,822,9.5,978.6
03.19,65,31,3,737,4.6,1133.8
03.20,116,36,8,592,6.9,510.3
03.21,82,45,6,506,7.3,617.1
03.22,102,47,9,459,8.8,450.0
03.23,147,35,7,458,4.8,311.6
03.24,99,33,4,492,4.0,497.0
