province,city_name,total_confirm,total_suspect,total_dead,total_heal,today_confirm,lastUpdateTime
湖北,武汉,50006,0,2526,43686,0,2020-03-25 14:38:35
湖北,孝感,3518,0,128,3380,0,2020-03-25 14:38:35
湖北,鄂州,1394,0,59,1328,0,2020-03-25 14:38:35
湖北,荆门,928,0,39,886,0,2020-03-25 14:38:35
湖北,潜江,198,0,9,187,0,2020-03-25 14:38:35
湖北,襄阳,1175,0,39,1134,0,2020-03-25 14:38:35
湖北,仙桃,575,0,22,551,0,2020-03-25 14:38:35
湖北,荆州,1580,0,51,1527,0,2020-03-25 14:38:35
湖北,随州,1307,0,45,1260,0,2020-03-25 14:38:35
湖北,黄石,1015,0,39,974,0,2020-03-25 14:38:35
湖北,宜昌,931,0,36,893,0,2020-03-25 14:38:35
湖北,十堰,672,0,8,664,0,2020-03-25 14:38:35
湖北,恩施州,252,0,7,245,0,2020-03-25 14:38:35
湖北,咸宁,836,0,15,821,0,2020-03-25 14:38:35
湖北,天门,496,0,15,481,0,2020-03-25 14:38:35
湖北,黄冈,2907,0,125,2782,0,2020-03-25 14:38:35
湖北,神农架,11,0,0,11,0,2020-03-25 14:38:35
香港,地区待确认,386,0,4,102,30,2020-03-25 14:38:35
台湾,地区待确认,235,0,2,29,19,2020-03-25 14:38:35
北京,境外输入,145,0,0,11,7,2020-03-25 14:38:35
北京,朝阳,72,0,0,0,0,2020-03-25 14:38:35
北京,海淀,64,0,0,0,0,2020-03-25 14:38:35
北京,西城,53,0,0,0,0,2020-03-25 14:38:35
北京,丰台,43,0,0,0,0,2020-03-25 14:38:35
北京,大兴,39,0,0,0,0,2020-03-25 14:38:35
北京,昌平,29,0,0,0,0,2020-03-25 14:38:35
北京,外地来京,25,0,0,0,0,2020-03-25 14:38:35
北京,通州,19,0,0,0,0,2020-03-25 14:38:35
北京,房山,16,0,0,0,0,2020-03-25 14:38:35
北京,东城,14,0,0,0,0,2020-03-25 14:38:35
北京,石景山,14,0,0,0,0,2020-03-25 14:38:35
北京,顺义,10,0,0,0,0,2020-03-25 14:38:35
北京,密云,7,0,0,0,0,2020-03-25 14:38:35
北京,怀柔,7,0,0,0,0,2020-03-25 14:38:35
北京,门头沟,3,0,0,0,0,2020-03-25 14:38:35
北京,延庆,1,0,0,0,0,2020-03-25 14:38:35
北京,地区待确认,0,0,8,392,0,2020-03-25 14:38:35
上海,境外输入,94,0,0,3,19,2020-03-25 14:38:35
上海,外地来沪,111,0,0,107,0,2020-03-25 14:38:35
上海,宝山,22,0,1,19,0,2020-03-25 14:38:35
上海,嘉定,9,0,1,7,0,2020-03-25 14:38:35
上海,静安,16,0,1,15,0,2020-03-25 14:38:35
上海,浦东,61,0,0,61,0,2020-03-25 14:38:35
上海,地区待确认,0,0,0,0,0,2020-03-25 14:38:35
上海,黄浦,6,0,1,5,0,2020-03-25 14:38:35
上海,徐汇,18,0,1,17,0,2020-03-25 14:38:35
上海,青浦,6,0,0,6,0,2020-03-25 14:38:35
上海,崇明,4,0,0,4,0,2020-03-25 14:38:35
上海,金山,4,0,0,4,0,2020-03-25 14:38:35
上海,虹口,7,0,0,7,0,2020-03-25 14:38:35
上海,奉贤,9,0,0,9,0,2020-03-25 14:38:35
上海,杨浦,9,0,0,9,0,2020-03-25 14:38:35
上海,普陀,11,0,0,11,0,2020-03-25 14:38:35
上海,长宁,13,0,0,13,0,2020-03-25 14:38:35
上海,松江,14,0,0,14,0,2020-03-25 14:38:35
上海,闵行,19,0,0,19,0,2020-03-25 14:38:35
广东,广州,388,0,1,337,4,2020-03-25 14:38:35
广东,深圳,441,0,3,414,1,2020-03-25 14:38:35
广东,佛山,91,0,0,84,0,2020-03-25 14:38:35
广东,珠海,101,0,1,97,0,2020-03-25 14:38:35
广东,中山,68,0,0,66,0,2020-03-25 14:38:35
广东,潮州,6,0,0,5,0,2020-03-25 14:38:35
广东,揭阳,9,0,0,8,0,2020-03-25 14:38:35
广东,梅州,17,0,0,16,0,2020-03-25 14:38:35
广东,湛江,23,0,0,22,0,2020-03-25 14:38:35
广东,肇庆,20,0,1,18,0,2020-03-25 14:38:35
广东,茂名,14,0,0,14,0,2020-03-25 14:38:35
广东,阳江,14,0,0,14,0,2020-03-25 14:38:35
广东,江门,23,0,0,23,0,2020-03-25 14:38:35
广东,汕头,25,0,0,25,0,2020-03-25 14:38:35
广东,惠州,62,0,0,62,0,2020-03-25 14:38:35
广东,清远,12,0,0,12,0,2020-03-25 14:38:35
广东,韶关,10,0,1,9,0,2020-03-25 14:38:35
广东,东莞,100,0,1,99,0,2020-03-25 14:38:35
广东,汕尾,5,0,0,5,0,2020-03-25 14:38:35
广东,河源,4,0,0,4,0,2020-03-25 14:38:35
广东,地区待确认,0,0,0,0,0,2020-03-25 14:38:35
福建,境外输入,26,0,0,0,4,2020-03-25 14:38:35
福建,莆田,56,0,0,56,0,2020-03-25 14:38:35
福建,漳州,20,0,0,20,0,2020-03-25 14:38:35
福建,地区待确认,0,0,0,0,0,2020-03-25 14:38:35
福建,宁德,26,0,0,26,0,2020-03-25 14:38:35
福建,龙岩,6,0,0,6,0,2020-03-25 14:38:35
福建,南平,20,0,0,20,0,2020-03-25 14:38:35
福建,三明,14,0,0,14,0,2020-03-25 14:38:35
福建,泉州,47,0,0,47,0,2020-03-25 14:38:35
福建,厦门,35,0,0,35,0,2020-03-25 14:38:35
福建,福州,72,0,1,71,0,2020-03-25 14:38:35
澳门,地区待确认,30,0,0,10,4,2020-03-25 14:38:35
浙江,境外输入,24,0,0,5,1,2020-03-25 14:38:35
