date,total_dead,total_heal,newAddConfirm
01.28,0,3,19
01.29,0,3,12
01.30,0,6,14
01.31,0,11,24
02.01,0,11,26
02.02,1,11,14
02.03,1,12,7
02.04,1,19,6
02.05,1,21,32
02.06,1,25,25
02.07,1,27,54
02.08,1,29,18
02.09,1,30,19
02.10,1,36,12
02.11,1,44,76
02.12,1,50,46
02.13,2,56,6
02.14,2,59,58
02.15,3,61,21
02.16,3,84,157
02.17,3,88,111
02.18,3,114,10
02.19,3,127,120
02.20,8,127,149
02.21,11,142,127
02.22,14,154,182
02.23,22,155,386
02.24,32,173,300
02.25,40,192,365
02.26,51,220,459
02.27,64,310,736
02.28,80,360,1030
02.29,95,455,1309
03.01,112,1020,1161
03.02,152,558,1589
03.03,184,895,1800
03.04,236,909,2078
03.05,294,1087,4166
03.06,365,1556,2743
03.07,451,1720,3641
03.08,561,3208,3706
03.09,763,3614,4063
03.10,977,4212,3972
03.11,1228,5274,4596
03.12,1577,5779,6702
03.13,1933,6544,7485
03.14,2354,7947,9750
03.15,2751,9304,11511
03.16,3452,10413,14579
03.17,4261,11680,11665
03.18,4955,13483,15084
03.19,6038,15388,17888
03.20,7154,17687,24120
03.21,8589,20704,28268
03.22,10344,23721,32665
03.23,12071,26708,40678
03.24,13914,29295,39650
03.25,15609,34422,0
