country,英文,date,total_confirm,total_suspect,total_dead,total_heal,today_confirm,lastUpdateTime
中国,China,3.25,81850,134,3287,73791,103,2020-03-25 10:44:50
意大利,Italy,3.25,69176,0,6820,8326,5249,2020-03-25 10:44:50
美国,United States,3.25,54905,0,783,348,8462,2020-03-25 10:44:50
西班牙,Spain,3.25,42058,0,2991,3355,2385,2020-03-25 10:44:50
德国,Germany,3.25,32986,0,157,3243,1616,2020-03-25 10:44:50
伊朗,Iran,3.25,24811,0,1934,8913,1762,2020-03-25 10:44:50
法国,France,3.25,22302,0,1100,3281,2446,2020-03-25 10:44:50
韩国,Korea (South),3.25,9137,0,126,3730,100,2020-03-25 10:44:50
瑞士,Switzerland,3.25,9117,0,122,131,1057,2020-03-25 10:44:50
英国,United Kingdom,3.25,8077,0,422,98,1427,2020-03-25 10:44:50
荷兰,Netherlands,3.25,5560,0,276,0,1356,2020-03-25 10:44:50
奥地利,Austria,3.25,4876,0,28,9,952,2020-03-25 10:44:50
比利时,Belgium,3.25,4269,0,122,350,526,2020-03-25 10:44:50
挪威,Norway,3.25,2796,0,12,1,223,2020-03-25 10:44:50
加拿大,Canada,3.25,2795,0,27,110,704,2020-03-25 10:44:50
葡萄牙,Portugal,3.25,2362,0,29,5,762,2020-03-25 10:44:50
澳大利亚,Australia,3.25,2317,0,8,118,181,2020-03-25 10:44:50
瑞典,Sweden,3.25,2272,0,36,16,338,2020-03-25 10:44:50
巴西,Brazil,3.25,2201,0,46,2,310,2020-03-25 10:44:50
以色列,Israel,3.25,1930,0,3,53,274,2020-03-25 10:44:50
土耳其,Turkey,3.25,1872,0,44,0,343,2020-03-25 10:44:50
马来西亚,Malaysia,3.25,1624,0,15,183,318,2020-03-25 10:44:50
丹麦,Denmark,3.25,1591,0,32,1,131,2020-03-25 10:44:50
捷克,Czech,3.25,1394,0,3,10,158,2020-03-25 10:44:50
爱尔兰,Ireland,3.25,1329,0,7,5,204,2020-03-25 10:44:50
日本本土,NativeJapan,3.25,1209,0,42,285,69,2020-03-25 10:44:50
卢森堡,Luxembourg,3.25,1099,0,8,0,224,2020-03-25 10:44:50
厄瓜多尔,Ecuador,3.24,981,0,18,3,0,2020-03-25 10:44:50
巴基斯坦,Pakistan,3.25,972,0,7,13,80,2020-03-25 10:44:50
智利,Chile,3.25,922,0,2,17,172,2020-03-25 10:44:50
波兰,Poland,3.25,901,0,10,13,152,2020-03-25 10:44:50
泰国,Thailand,3.24,827,0,4,57,0,2020-03-25 10:44:50
芬兰,Finland,3.25,792,0,1,10,92,2020-03-25 10:44:50
沙特阿拉伯,Saudi Arabia,3.24,767,0,1,28,0,2020-03-25 10:44:50
罗马尼亚,Romania,3.24,762,0,8,73,0,2020-03-25 10:44:50
希腊,Greece,3.25,743,0,20,19,48,2020-03-25 10:44:50
钻石号邮轮,CenturyDiamand,3.24,712,0,10,587,0,2020-03-25 10:44:50
印度尼西亚,Indonesia,3.24,686,0,50,30,0,2020-03-25 10:44:50
冰岛,Iceland,3.25,648,0,2,5,60,2020-03-25 10:44:50
新加坡,Singapore,3.24,558,0,2,140,0,2020-03-25 10:44:50
南非,South Africa,3.24,554,0,0,1,0,2020-03-25 10:44:50
菲律宾,Philippines,3.24,552,0,35,20,0,2020-03-25 10:44:50
印度,India,3.25,536,0,9,40,17,2020-03-25 10:44:50
