date,dead,heal,nowConfirm,deadRate,healRate
01.20,6,25,239,2.22,9.26
01.23,24,31,494,4.37,5.65
01.24,39,32,658,5.35,4.39
01.25,52,42,958,4.94,3.99
01.26,76,44,1303,5.34,3.09
01.27,100,47,2567,3.68,1.73
01.28,125,80,3349,3.52,2.25
01.29,162,90,4334,3.53,1.96
01.30,204,116,5486,3.51,2.00
01.31,249,166,6738,3.48,2.32
02.01,294,215,8565,3.24,2.37
02.02,350,295,10532,3.13,2.64
02.03,414,396,12712,3.06,2.93
02.04,479,520,15679,2.87,3.12
02.05,549,633,18473,2.79,3.22
02.06,618,817,20677,2.79,3.69
02.07,699,1115,23139,2.80,4.47
02.08,780,1439,24881,2.88,5.31
02.09,871,1795,26965,2.94,6.06
02.10,974,2222,28532,3.07,7.00
02.11,1068,2639,29659,3.20,7.91
02.12,1310,3441,43455,2.72,7.14
02.13,1318,4131,46537,2.54,7.95
02.14,1457,4774,48175,2.68,8.77
02.15,1596,5623,49030,2.84,10.00
02.16,1696,6639,49847,2.91,11.41
02.17,1789,7862,50338,2.98,13.11
02.18,1921,9128,50633,3.11,14.80
02.19,2029,10337,50091,3.25,16.55
02.20,2144,11788,49156,3.40,18.69
02.21,2250,13557,47647,3.55,21.37
02.22,2346,15299,46439,3.66,23.87
02.23,2495,16738,45054,3.88,26.04
02.24,2563,18854,43369,3.96,29.10
02.25,2615,20912,41660,4.01,32.08
02.26,2641,23200,39755,4.03,35.37
02.27,2682,26403,36829,4.07,40.06
02.28,2727,28895,34715,4.11,43.56
02.29,2761,31187,32959,4.13,46.61
03.01,2803,33757,30543,4.18,50.31
03.02,2834,36167,28216,4.22,53.81
03.03,2871,38556,25905,4.26,57.26
03.04,2902,40479,24085,4.30,60.00
03.05,2931,41966,22695,4.34,62.09
03.06,2959,43468,21239,4.37,64.24
03.07,2986,45011,19710,4.41,66.48
03.08,3007,46433,18303,4.44,68.54
03.09,3024,47585,17151,4.46,70.23
03.10,3046,49056,15671,4.49,72.38
03.11,3056,50298,14427,4.51,74.21
03.12,3062,51553,13171,4.52,76.05
03.13,3075,52943,11772,4.54,78.10
03.14,3085,54278,10431,4.55,80.06
03.15,3099,55094,9605,4.57,81.26
03.16,3111,55987,8700,4.59,82.58
03.17,3122,56883,7795,4.60,83.90
03.18,3130,57678,6992,4.62,85.07
03.19,3132,58381,6287,4.62,86.11
03.20,3139,58942,5719,4.63,86.94
03.21,3144,59432,5224,4.64,87.66
03.22,3153,59879,4768,4.65,88.32
03.23,3160,60323,4318,4.66,88.97
03.24,3163,60810,3828,4.67,89.69
