date,dead,heal,nowConfirm,deadRate,healRate
01.20,0,0,52,0.00,0.00
01.23,1,3,282,0.35,1.05
01.24,2,6,560,0.35,1.06
01.25,4,7,922,0.43,0.75
01.26,4,7,1327,0.30,0.52
01.27,6,13,1802,0.33,0.71
01.28,7,23,2413,0.29,0.94
01.29,8,34,3108,0.25,1.08
01.30,9,55,3850,0.23,1.41
01.31,10,77,4581,0.21,1.65
02.01,10,113,5214,0.19,2.12
02.02,11,180,5870,0.18,2.97
02.03,11,236,6702,0.16,3.40
02.04,12,372,7301,0.16,4.84
02.05,15,520,7870,0.18,6.19
02.06,19,725,8355,0.21,7.97
02.07,24,937,8684,0.25,9.71
02.08,32,1212,8907,0.32,11.94
02.09,38,1488,9078,0.36,14.03
02.10,43,1776,9161,0.39,16.17
02.11,46,2103,9215,0.40,18.51
02.12,58,2474,9144,0.50,21.19
02.13,63,2597,9286,0.53,21.74
02.14,67,3327,8776,0.55,27.34
02.15,70,3802,8463,0.57,30.82
02.16,76,4214,8163,0.61,33.84
02.17,81,4699,7759,0.65,37.48
02.18,85,5259,7253,0.67,41.75
02.19,92,5820,6295,0.73,46.39
02.20,95,6478,5895,0.74,50.20
02.21,98,7116,5724,0.76,55.00
02.22,99,7608,5250,0.76,58.72
02.23,100,8019,4856,0.77,61.80
02.24,103,8499,4391,0.79,65.41
02.25,103,8863,4037,0.79,68.16
02.26,106,9331,3597,0.81,71.59
02.27,109,9754,3182,0.84,74.77
02.28,111,10154,2787,0.85,77.80
02.29,112,10488,2461,0.86,80.30
03.01,112,10761,2198,0.86,82.33
03.02,112,11093,1880,0.86,84.78
03.03,113,11358,1619,0.86,86.77
03.04,113,11630,1356,0.86,88.79
03.05,114,11827,1177,0.87,90.16
03.06,114,12009,1024,0.87,91.34
03.07,114,12132,906,0.87,92.24
03.08,116,12251,794,0.88,93.09
03.09,116,12397,651,0.88,94.17
03.10,116,12511,555,0.88,94.91
03.11,117,12589,493,0.89,95.29
03.12,118,12663,436,0.89,95.81
03.13,119,12706,406,0.90,96.03
03.14,119,12744,391,0.90,96.15
03.15,119,12769,391,0.90,96.16
03.16,120,12812,386,0.90,96.20
03.17,120,12842,389,0.90,96.19
03.18,120,12869,446,0.89,95.79
03.19,121,12903,476,0.90,95.58
03.20,122,12934,294,0.90,94.99
03.21,123,12950,625,0.90,94.54
03.22,123,12962,715,0.89,93.93
03.23,123,12976,847,0.88,93.04
03.24,124,12981,940,0.88,92.42
